iter	Logloss
0	0.6330162856
1	0.5817801139
2	0.5388928357
3	0.5024823734
4	0.4718591148
5	0.4460083368
6	0.4241024255
7	0.4053373323
8	0.3896052433
9	0.3757733808
10	0.3640107106
11	0.3537967256
12	0.3452901393
13	0.3375737019
14	0.3310656132
15	0.3251089927
16	0.3199864322
17	0.3154865285
18	0.3114216
19	0.3079034833
20	0.304668837
21	0.3018901876
22	0.2992974589
23	0.296998456
24	0.2949508206
25	0.293115566
26	0.2914392413
27	0.2899015279
28	0.2885321222
29	0.2872334108
30	0.2861167303
31	0.2850123454
32	0.2840462967
33	0.2831745562
34	0.2823517456
35	0.2816065829
36	0.2809371917
37	0.2802942413
38	0.279740903
39	0.2792170009
40	0.278769341
41	0.278284895
42	0.2778207075
43	0.2773844598
44	0.2770067201
45	0.2766788028
46	0.2763555339
47	0.2760266913
48	0.2756988346
49	0.2754200312
50	0.2751622125
51	0.2749081975
52	0.2746621548
53	0.2744277158
54	0.2742345382
55	0.2740200251
56	0.2738338742
57	0.2736555138
58	0.2734776239
59	0.2733094262
60	0.2731497869
61	0.2730068877
62	0.2728553636
63	0.2727162272
64	0.2725940534
65	0.2724688936
66	0.2723561349
67	0.272239679
68	0.2721251845
69	0.2720088542
70	0.2719270325
71	0.2718289317
72	0.271737374
73	0.2716487176
74	0.2715564173
75	0.2714744911
76	0.2713863751
77	0.2713129536
78	0.2712389782
79	0.2711616928
80	0.2710831274
81	0.2710114313
82	0.2709392938
83	0.2708789384
84	0.2708142815
85	0.2707564208
86	0.2706934405
87	0.2706463348
88	0.2705813798
89	0.270520773
90	0.2704682322
91	0.2704097304
92	0.2703534079
93	0.2702626116
94	0.2702079326
95	0.2701674262
96	0.270123658
97	0.2700758415
98	0.2699728683
99	0.2699226838
100	0.2698902261
101	0.2698448577
102	0.2698033951
103	0.2697686365
104	0.2697180186
105	0.2696789087
106	0.2696466496
107	0.2696128732
108	0.269574159
109	0.2695334734
110	0.2694977605
111	0.2694610915
112	0.2694321054
113	0.2693934455
114	0.269353448
115	0.2692896063
116	0.2692556322
117	0.2692156034
118	0.2691809498
119	0.2691473639
120	0.2691094346
121	0.2690800931
122	0.2690296927
123	0.2690010809
124	0.2689650091
125	0.2689353344
126	0.2689063732
127	0.2688745551
128	0.2688494894
129	0.2688249187
130	0.2687896843
131	0.2687601064
132	0.2687338543
133	0.2687033195
134	0.2686744274
135	0.268650137
136	0.2686277754
137	0.2686043275
138	0.2685840459
139	0.2685532964
140	0.2685326155
